,Product Name,Price,Discount Percentage,Saved Amount,URL
44,HP  Envy 2,499.99,33,250.0,https://www.bestbuy.com/site/hp-envy-2-in-1-14-full-hd-touch-screen-laptop-intel-core-5-8gb-memory-512gb-ssd-natural-silver/6571086.p?skuId=6571086
45,"Lenovo  Flex 5i 14"" FHD Touchscreen 2",499.99,26,180.0,https://www.bestbuy.com/site/lenovo-flex-5i-14-fhd-touchscreen-2-in-1-laptop-intel-core-i5-1235u-with-8-gb-memory-intel-iris-xe-graphics-512gb-ssd-storm-grey/6571563.p?skuId=6571563
46,"Samsung  Galaxy Book4 15.6"" FHD Laptop ",499.99,44,400.0,https://www.bestbuy.com/site/samsung-galaxy-book4-15-6-fhd-laptop-intel-core-7-16gb-memory-512gb-ssd-silver/6572184.p?skuId=6572184
47,"HP  Victus 15.6"" Full HD 144Hz Gaming Laptop ",479.99,45,400.0,https://www.bestbuy.com/site/hp-victus-15-6-full-hd-144hz-gaming-laptop-intel-core-i5-8gb-memory-nvidia-geforce-rtx-3050-512gb-ssd-performance-blue/6570600.p?skuId=6570600
48,Dell  Inspiron 14 2,479.99,34,250.0,https://www.bestbuy.com/site/dell-inspiron-14-2-in-1-14-ips-led-fhd-touch-screen-laptop-amd-ryzen-5-with-8gb-memory-512gb-ssd-midnight-blue/6576719.p?skuId=6576719
49,"Dell  Inspiron 15 15.6"" Touch Screen Laptop ",429.99,32,200.0,https://www.bestbuy.com/site/dell-inspiron-15-15-6-touch-screen-laptop-intel-core-i5-with-8gb-memory-512gb-ssd-carbon-black/6573731.p?skuId=6573731
50,"HP  15.6"" Touch",399.99,31,180.0,https://www.bestbuy.com/site/hp-15-6-touch-screen-laptop-amd-ryzen-5-8gb-memory-512gb-ssd-natural-silver/6569668.p?skuId=6569668
51,"HP  15.6"" Full HD Chromebook Plus Laptop with Google AI ",399.0,20,100.0,https://www.bestbuy.com/site/hp-15-6-full-hd-chromebook-plus-laptop-with-google-ai-intel-core-i3-8gb-memory-128gb-ufs-mineral-silver/6553105.p?skuId=6553105
52,Lenovo  IdeaPad Duet 5 Chromebook 2,349.0,30,150.0,https://www.bestbuy.com/site/lenovo-ideapad-duet-5-chromebook-2-in1-laptop-13-3-fhd-touchscreen-snapdragon-7cg2-8gb-128gb-emmc-with-keyboard-abyss-blue/6477625.p?skuId=6477625
53,"ASUS  Vivobook 14"" Laptop ",299.99,30,130.0,https://www.bestbuy.com/site/asus-vivobook-14-laptop-intel-core-i3-1215u-with-8gb-memory-128gb-ssd-quiet-blue/6568805.p?skuId=6568805
54,Lenovo  IdeaPad 3i Chromebook Laptop ,249.0,42,180.0,https://www.bestbuy.com/site/lenovo-ideapad-3i-chromebook-laptop-15-fhd-touch-screen-pentium-silver-n6000-8gb-memory-128gb-ssd-arctic-grey/6567669.p?skuId=6567669
55,"ASUS  Chromebook CM1402 14"" FHD Laptop ",139.0,54,160.0,https://www.bestbuy.com/site/asus-chromebook-cm1402-14-fhd-laptop-mediatek-kompanio-520-4gb-memory-64gb-emmc-gravity-gray/6570143.p?skuId=6570143
